N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency
39,56,14,18.751716,64.533128,5.208548,79.332867,pigeonpeas,29.979712,3,9.382931,0.9572,373.97998,6.134432,4,6.512616,17.872994,82.096159,3,47.049738,1,91.41659,3.368925
12,38,14,32.045828,72.287298,6.755154,49.576495,blackgram,20.131898,1,10.7405,13.824391,402.631021,1.315993,6,8.925914,45.337901,141.828333,2,39.277061,1,12.715156,4.514657
27,48,13,30.728047,60.310437,6.305414,31.093772,blackgram,11.106498,3,9.337298,4.070541,422.845517,5.578101,1,8.104955,23.777437,110.237409,3,4.684044,2,19.553053,3.546944
105,72,77,29.611611,77.021432,5.866563,106.058637,banana,11.482984,2,5.873404,5.023727,416.816723,2.01102,3,15.754011,42.326563,86.466725,3,44.219974,3,57.21186,3.790544
63,43,48,25.474197,86.958991,5.615293,202.943776,rice,26.750594,3,8.258609,5.962466,418.297766,9.753114,2,11.261451,52.690108,98.235661,2,18.195364,1,12.675641,2.903769
114,17,59,28.969318,94.378076,6.103914,37.255263,muskmelon,16.917598,3,5.629763,12.122404,406.303375,6.816653,6,5.327678,81.48923,158.023924,2,6.427838,1,25.378534,2.902019
15,10,19,20.72482,93.107822,5.562473,196.062602,apple,18.555206,3,5.132177,2.969784,439.316834,3.229048,2,5.518539,28.244471,93.516159,3,35.722451,2,92.228506,4.996835
21,77,30,21.26731,22.567248,6.219574,50.194139,kidneybeans,13.921694,2,5.611487,3.411337,401.083819,7.61098,6,15.658848,72.099947,98.0189,1,38.090608,1,4.49004,3.142646
118,88,51,25.44926208,79.49221962,6.201911642,100.6619171,banana,21.259516464292563,3,8.258927778693504,9.30706823197256,367.74966611312,2.541833340080773,2,9.671773994604049,34.09854996877014,125.61092857081644,1,46.45291777348057,3,93.58146307852428,3.5239763202604344
24,68,31,20.879179,65.571248,6.838872,72.036439,pigeonpeas,23.778684,2,7.961553,6.197267,405.794269,3.139339,2,8.743841,86.185471,151.631121,2,8.037878,3,93.355919,4.761978
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,coffee,13.125280180931997,1,10.81370162055756,1.9360362776695104,400.92712760364265,8.648942117140823,6,13.482653811136323,80.0685522103035,178.03667223125913,1,37.75695863112446,3,26.82312106302622,1.6797349062832052
80,10,53,34.866006,84.723518,6.478365,71.720629,watermelon,27.293531,1,5.457517,15.087652,411.892225,8.596556,2,5.309268,81.449688,187.651716,1,7.118275,2,56.791759,3.890708
31,62,53,22.075313,18.067227,5.849004,47.893002,chickpea,22.004535,2,9.967495,9.058146,370.767398,4.254583,1,10.411945,4.455027,181.836091,3,32.312274,1,19.862864,1.677137
27,76,83,19.12829388,14.92241479,6.289614016,89.61857826,chickpea,21.541871460057635,3,9.293249155490695,14.585715958846176,384.2576645305164,5.067315382080652,5,19.16398949622991,56.0094689089333,89.09424079466251,2,32.06278950828626,2,30.33852796425684,4.430763756113667
83,27,46,30.6248,90.354573,5.408962,79.585282,watermelon,13.662638,3,9.584391,17.561896,369.99429,1.33985,5,6.750586,5.271255,189.824134,1,22.213734,3,20.838525,1.517738
19,55,18,19.274542,68.917737,7.268771,38.586212,lentil,13.267578,2,8.235232,12.134602,351.051381,5.798873,2,12.634658,17.353266,50.377902,2,46.901292,2,71.138803,4.020382
37,20,10,33.414162,59.321451,7.219143,179.251363,mango,10.584538,2,8.733483,6.445702,361.250263,5.776627,1,5.82518,69.39804,99.38976,1,15.952409,2,37.503371,2.964545
74,58,64,20.525312,56.358524,6.363434,79.701124,maize,16.751799,3,6.43281,13.293985,353.756537,4.621877,2,16.96505,45.74199,172.489423,2,0.823522,2,93.637052,1.112075
20,55,24,19.046138,22.733675,5.816304,48.90369,kidneybeans,21.877114,3,7.835477,4.094871,392.356661,3.904153,3,16.807907,9.438775,171.723826,3,25.628047,1,51.40186,3.086452
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,mango,13.32250068553737,3,10.103222279475569,3.76417346751299,376.32439864922185,7.763583681282601,5,18.617006975803307,24.950538210796022,167.65971112990937,3,47.372567878371285,3,70.11381187351641,3.855181652623689
12,17,29,14.291026,92.948307,6.563581,117.393662,orange,22.193875,2,11.105863,11.116411,381.525664,7.077545,5,13.292858,14.114903,149.610726,1,5.357965,2,12.167179,2.545953
85,25,53,33.592835,85.409185,6.788602,74.135628,watermelon,14.652501,3,8.707932,17.108833,353.067078,5.132509,1,5.919893,85.415789,99.93634,3,46.361783,2,46.193738,3.371107
106,26,48,32.380548,92.453399,6.214276,32.548831,muskmelon,13.588008,2,9.178804,11.379068,412.983878,9.932278,6,8.873826,12.421986,90.500512,2,13.528332,3,46.561073,4.165849
17,18,19,25.03448,56.850437,6.561932,155.39641,mango,10.67387,1,9.256065,9.002597,351.36493,4.554441,6,12.344995,19.258505,196.572493,2,0.628705,3,77.967787,3.315994
34,72,48,18.548842,22.003857,6.364582,65.127336,chickpea,11.877607,1,6.515671,19.323333,389.242351,7.513747,4,6.467902,51.885497,147.419754,2,16.901896,2,98.706963,4.517829
53,34,40,33.264534,92.588977,7.367486,196.868821,papaya,23.342095,2,7.170883,13.388568,439.783325,6.015266,1,8.208069,86.392068,136.903391,3,12.685023,1,29.710868,4.065586
25,26,44,33.759684,86.418339,5.556465,107.161555,pomegranate,11.265884,3,10.772946,11.776254,438.591241,7.115896,2,16.04791,36.465927,70.146193,1,26.238176,1,15.554813,2.340352
111,51,45,31.665045,83.606042,6.45252,131.910969,banana,16.748308,2,6.29423,3.687915,431.690526,7.647213,6,8.621229,55.902108,162.224797,2,8.800979,1,82.038356,2.159541
29,28,20,29.49698,57.476001,6.738763,107.387946,mango,13.59998,3,10.033532,3.974581,371.230456,6.316516,2,13.099163,50.643722,197.38582,2,32.130091,1,72.942885,4.947527
91,64,49,24.417955,81.086288,6.936571,232.46596,jute,24.323621,1,7.120953,6.704594,445.079181,1.575917,2,16.019571,56.424739,121.698413,2,30.562801,2,74.521111,4.294509
53,22,55,32.625736,91.811522,7.230012,110.897753,papaya,16.343055,1,10.059657,19.498422,427.859509,3.737923,3,15.279863,95.491372,65.593247,1,42.483884,3,25.966732,4.668457
20,82,38,20.169632,24.987625,6.824362,54.618871,kidneybeans,27.090683,3,5.927458,2.078014,363.121839,1.507436,5,17.110701,86.36346,88.440928,3,27.599308,2,76.54437,4.395256
1,76,19,24.18553163,46.68746847,6.669529416,177.3377996,pigeonpeas,12.42564520814211,1,8.331382035209916,1.6188481905875185,354.4122650440536,4.604244357318449,1,19.445782112223,44.709602929505074,174.1325321968036,1,17.878096579777054,1,28.66960751257035,4.670057744410638
116,13,11,21.852191,93.641671,5.315712,208.414841,coffee,25.764366,1,5.981252,13.010202,357.446788,8.190958,1,6.454374,55.367978,69.052167,1,7.561852,3,79.616138,1.935483
35,29,31,33.288666,82.177452,6.341845,125.151085,pomegranate,23.819109,2,9.777221,13.247881,445.511394,1.149385,3,12.736966,9.596591,167.47956,3,37.276081,2,6.937746,3.358305
81,12,71,29.470164,88.022829,5.629182,48.552587,watermelon,29.691664,1,11.796459,15.048055,355.290034,5.95187,5,16.160443,99.210833,160.411741,2,8.816065,3,89.690005,4.622426
13,126,204,23.1094265,92.79630809,6.383180271,108.183792,apple,24.53864273647204,2,8.157212304809194,11.436261038534347,400.708683459206,7.67850428199606,6,6.47076945465918,50.72960415834213,194.95483184509987,1,18.023716966617748,3,87.53474747181676,1.561452521344695
36,26,44,28.858969,90.018162,6.650854,161.555283,pomegranate,18.610042,3,11.529029,8.440561,389.63337,3.185285,6,7.106406,13.576589,146.42585,3,25.239234,1,76.820607,4.856557
119,16,70,37.247869,90.332758,6.596543,35.949373,muskmelon,24.34808,2,9.68885,6.07724,375.756998,9.784768,2,10.285906,90.313205,133.721656,3,40.212005,3,61.981027,4.485979
34,17,51,21.023643,82.016991,6.040671,165.982124,pomegranate,12.403689,3,6.277008,3.417047,448.817849,9.350174,6,11.484874,47.719328,186.527391,2,49.895588,1,5.824482,4.19812
26,53,26,20.759798,65.654055,6.334989,39.430931,lentil,12.480385,3,6.966278,18.532584,377.35526,4.528288,5,13.07399,97.201029,130.53934,2,37.595554,2,5.023097,1.408516
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil,26.962441006957377,1,10.712694067392874,14.066382631068109,361.3229095724389,3.7407758494007712,2,5.051375583343425,72.97108931382394,53.2330702961511,1,5.039669238199762,1,59.49387987746904,1.880089209091727
27,52,20,25.054875,85.6847,6.554796,40.886489,mungbean,13.71256,1,9.526559,0.026459,364.725991,3.108111,6,12.440253,41.292985,87.465033,3,6.098588,3,69.57825,1.09836
126,49,20,25.468592,82.02389,7.651604,98.803819,cotton,12.480534,2,11.291965,16.560055,358.935132,8.453874,5,10.341368,24.342656,156.942789,2,46.111402,2,95.715091,2.645459
95,54,52,31.009847,75.031469,6.72973,249.707356,jute,11.797261,1,7.539865,10.982607,436.577343,4.475339,2,9.603614,39.277232,138.644083,2,39.481031,2,28.767259,2.665985
19,29,22,19.183134,92.109166,6.4809,98.668595,grapes,20.192518,1,10.191214,10.898361,438.227297,6.141405,2,7.694176,67.039569,90.277928,1,4.05298,3,94.682634,3.935475
14,40,55,18.668717,14.120982,6.114244,42.79612,chickpea,13.817974,2,9.725251,13.195741,433.577835,3.877736,6,16.822506,71.304905,175.601888,1,32.264353,3,73.659601,1.441786
28,22,26,16.568048,94.875235,7.125206,131.122412,orange,13.871864,2,7.82246,8.786515,367.704797,7.724683,2,13.292642,22.40324,181.996856,2,37.988058,3,15.478964,2.321782
15,123,204,22.52709326,92.54780429,6.365972688,115.3830068,apple,18.906002562998392,2,11.657186547471447,15.91233696366806,398.8980954455944,6.458582998782504,1,18.789972239712483,48.538228806963126,98.17994985320148,1,8.447824591652909,1,92.38368920499522,2.262732701697352
102,63,62,25.84211,78.013743,5.669071,162.41031,banana,14.00327,1,9.527928,10.594865,369.459506,3.109209,4,16.879373,17.962053,117.215103,2,3.482809,2,29.852387,3.186662
22,56,28,26.270506,55.520271,5.350039,44.916273,mothbeans,26.339035,3,11.091164,0.776862,449.171778,1.420186,4,19.59252,80.634234,87.128756,1,7.909181,2,97.082983,4.270506
88,50,40,25.63215038,79.95150917,7.051822472,182.2582277,jute,17.777651691177912,3,5.018772898195607,8.135712439433295,400.2651142413955,7.123659848901249,6,9.276307352952417,35.58475953580368,160.15599456340544,1,39.68329243988673,1,22.47515661757048,2.0834285073429104
10,12,49,30.019784,82.437214,5.555355,166.482497,coconut,24.755503,1,8.388191,3.049335,413.240762,1.167534,6,15.286364,82.963028,102.830085,1,2.246477,3,1.210448,1.955425
74,67,71,24.03684,62.700825,6.519748,79.281138,maize,14.758219,3,11.284176,19.522548,415.312731,9.348703,2,13.340009,88.24887,121.802802,1,9.525329,2,82.059304,4.707642
87,14,46,35.676043,92.652878,6.990919,32.785753,muskmelon,22.153421,1,10.630376,15.041592,407.573172,1.195063,6,16.290697,84.74141,128.45667,2,33.73801,2,99.279933,1.356374
119,72,75,25.812303,81.713425,5.644511,155.328148,banana,24.873965,1,6.069159,11.099294,362.155736,7.88142,1,10.736471,22.519171,113.454256,2,24.168054,2,20.473638,4.417163
28,18,12,23.531853,83.023078,5.779073,78.843767,grapes,20.143708,3,6.550002,12.327783,423.004323,5.736991,5,14.392669,6.243095,52.378064,2,11.879113,2,72.90666,3.623427
26,59,34,33.872944,81.756679,7.194101,55.076127,mungbean,29.432344,2,9.356106,16.217326,386.589815,4.147864,5,7.737164,76.54642,191.178221,1,15.915797,2,9.196906,4.346831
27,23,43,34.11957,90.668313,6.530263,162.05994,coconut,19.902833,1,6.490718,0.829077,361.018306,1.590426,2,18.334158,3.724754,106.75129,1,48.411226,1,67.321211,1.142032
19,12,28,23.808631,93.896149,7.258955,167.289611,orange,13.359244,3,7.132269,10.510967,371.667364,2.184702,5,9.463571,17.249581,141.414272,3,17.23289,3,98.885382,3.34165
18,58,76,20.638191,15.925343,5.76899,32.033284,chickpea,11.295297,2,7.98962,14.20704,425.987041,1.559367,2,5.006731,79.93161,57.441048,2,23.634318,2,17.533086,3.3264
106,39,24,22.748124,83.649164,7.85617,64.573203,cotton,25.796714,3,8.854949,9.992363,385.718787,7.037447,4,9.537065,83.668788,128.098593,2,29.09981,3,33.667894,2.593849
28,21,56,32.509873,84.990902,5.445226,150.309122,coconut,18.698397,2,11.534724,13.533153,402.28057,2.535723,6,19.043122,10.616056,177.768144,3,45.013092,1,22.401216,4.778913
35,35,37,26.035769,60.805401,6.597768,169.552829,mango,16.481766,3,8.819535,15.095492,357.370037,2.516908,3,17.015995,42.514515,93.628444,1,43.051321,3,15.798162,2.266282
90,30,44,24.615477,82.395102,6.945249,218.151813,rice,14.389822,1,6.585141,3.982402,397.153204,9.313583,2,13.881477,47.528576,147.54012,1,35.175311,3,77.674714,3.125323
89,20,50,36.366747,91.09302,6.360002,20.029652,muskmelon,12.940247,3,7.331111,10.653701,382.769564,4.219019,1,11.846911,99.493081,86.51972,1,11.431,1,41.40073,3.924381
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,17.883769647178593,1,11.450264999979892,4.008740762379432,395.2805561659712,4.175852139267892,3,19.53813764810585,84.21808845378636,62.12247787492086,3,4.404796040752751,3,88.59923610206668,4.254476758311473
70,61,65,26.792739,69.31353,6.632372,116.750665,maize,27.355025,1,9.035188,5.128899,380.228329,4.760131,6,10.72035,88.919419,61.479896,2,41.460995,1,32.294576,4.66707
23,21,22,26.746526,82.657362,6.292371,81.937146,grapes,12.815294,1,10.014633,1.737918,400.94093,4.483917,1,10.205672,87.883626,97.121982,2,42.210943,2,24.212405,1.971182
25,11,46,29.718606,85.964331,5.204763,171.734559,coconut,28.169704,1,7.010448,0.68886,420.040722,7.477006,4,16.83045,7.034883,97.484557,3,29.785988,3,34.948522,4.855286
21,70,19,24.735734,65.306978,6.321791,69.966907,pigeonpeas,26.703259,1,9.849515,15.730441,385.272966,1.24929,1,17.307801,95.007623,107.425018,1,9.086895,2,18.46897,4.77816
19,23,25,26.670275,84.228387,6.026349,86.670985,grapes,24.815447,1,7.453815,15.310775,351.181759,6.093036,3,10.4766,21.395738,170.862358,1,2.018638,2,52.157897,2.118172
22,40,26,31.469303,84.203633,6.927568,40.824929,mungbean,29.314044,3,8.839327,5.512395,410.26312,3.181635,4,19.558166,68.576274,149.103341,3,31.127403,3,19.058426,4.985817
14,20,37,32.645058,89.63487,7.118493,193.918776,coconut,13.756982,2,8.239336,5.993816,415.595135,7.82163,5,12.480489,64.865332,126.129991,1,47.193544,2,86.244367,3.64604
94,59,73,21.97159,55.737866,6.427023,72.989434,maize,26.557035,1,11.945887,3.506018,386.953152,4.879958,4,13.248459,23.807795,180.689779,1,42.428936,2,67.059217,2.694312
29,12,56,31.876267,91.72429,5.53405,168.284628,coconut,26.471422,3,11.872133,19.576977,370.305789,5.82554,5,9.506725,85.680304,63.311035,2,41.268449,2,71.713488,4.851841
119,44,11,23.452638,83.18663,6.607592,83.264035,cotton,16.218806,2,9.171269,3.216362,364.422945,9.476796,2,9.267473,82.759487,185.813128,3,40.768331,1,15.869294,4.742712
87,56,67,20.630612,63.640496,5.849092,79.81866,maize,22.647187,3,5.365183,3.02814,443.111229,5.21659,5,14.957242,6.406488,144.039876,1,4.449153,1,44.690813,2.343822
22,26,28,13.848939,83.582158,6.067905,68.175857,grapes,16.810491,2,10.645876,2.214878,397.500651,2.915144,4,13.669406,22.073838,156.953523,1,14.739127,1,46.217268,1.471761
36,39,36,28.606094,84.558639,5.763751,185.839876,pomegranate,24.518835,1,9.631674,17.746322,444.82683,5.077855,3,9.016754,23.022321,112.321504,3,40.353314,2,66.545088,1.865283
80,34,33,26.489007,82.87138,5.599015,235.761897,rice,22.979806,1,6.76366,8.151483,435.187801,5.134093,3,16.163813,82.579269,57.258356,3,10.489676,2,79.174825,3.357069
85,72,54,20.474175,73.350495,5.584301,77.509391,maize,24.966826,2,9.813197,6.885382,409.339819,4.756063,3,17.621697,90.320584,175.354021,2,18.410899,2,24.510448,4.997412
24,52,13,29.964107,54.424025,4.120282,45.630327,mothbeans,12.954485,3,10.508688,18.259929,392.735784,1.13865,4,11.167795,34.767456,193.125561,2,16.480365,2,38.653954,1.21424
33,24,42,31.092138,80.880243,6.946061,138.86141,pomegranate,27.737348,3,7.507559,10.571285,397.894714,3.106028,1,7.576258,59.711847,61.506381,3,0.145661,1,87.120353,2.502517
22,47,33,26.402669,81.705559,7.066431,59.470001,mungbean,29.289509,1,9.961843,4.659723,428.312112,4.279574,4,19.118952,96.852631,121.748286,2,16.62836,1,99.580979,2.269414
23,31,46,26.423784,83.325169,6.728108,197.888306,pomegranate,25.063578,3,7.857144,14.87845,443.455224,7.628166,4,16.409438,45.934297,91.060087,1,39.218124,2,92.04662,1.055773
12,129,205,22.36238282,91.15761594,6.119432215,118.6832725,apple,20.85026943377464,2,7.591362959540126,16.251538113141372,388.2919143840133,1.2048419196419973,3,16.851358346719245,80.60434936136231,91.27591632380502,2,1.2435731378973636,2,83.02144931433727,4.095623823584193
31,75,59,21.841644,16.941709,6.905597,45.65996,chickpea,13.884622,2,9.913418,8.620427,358.794819,9.474678,6,6.392493,81.632311,72.414986,2,5.352681,3,14.883187,3.937225
73,57,49,36.126389,77.841942,6.458755,165.793003,jute,12.281804,2,11.48017,19.733635,381.466471,2.841043,1,16.377745,9.149034,99.742322,2,34.557395,3,10.025671,4.394397
67,71,63,26.161855,69.522121,5.654972,87.080162,maize,19.11112,3,9.777079,5.30437,440.65018,5.828061,5,16.324371,3.545024,71.573708,1,34.358069,3,67.613819,3.172612
20,35,17,26.913655,83.640852,6.682461,42.52017,mungbean,28.152402,2,7.318804,13.749231,444.262532,4.142546,6,9.410515,31.356152,115.186945,2,48.288812,3,97.623437,4.017516
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana,27.631991593462327,1,5.45517488697134,6.973011253361423,402.1478540018626,5.553103255923066,3,11.223180484940467,53.18450433172036,104.1995601673656,2,8.68508673196821,3,99.28882643431967,2.7125461425612185
13,58,33,32.690137,61.084983,6.379194,55.481426,blackgram,11.271226,1,5.687902,10.717696,353.789712,6.514323,2,6.683052,57.523693,84.088983,2,19.771768,2,46.354526,3.67966
16,62,29,21.438188,18.826267,6.313832,35.25421,kidneybeans,12.081528,2,8.386976,19.252624,444.88539,8.240824,6,7.250333,1.568314,108.747856,2,10.703829,1,22.705094,4.428762
40,29,42,24.63228709,89.01574455,7.104094929,110.6956184,pomegranate,29.04661627663448,3,6.579925721150853,18.26045105504041,391.403595024204,2.537508284503658,5,5.273845335687605,8.604832777843407,62.00159685734603,1,10.010534401084842,1,53.09516717409305,1.106465328121585
69,59,76,23.45812,74.975001,6.035024,63.571572,maize,29.066782,2,7.363375,11.507471,380.579694,2.030181,2,14.380284,3.36778,129.682259,3,42.649576,1,93.046993,2.021024
26,74,29,17.4943,23.529586,5.735544,33.843018,kidneybeans,16.342447,3,8.94678,15.955353,386.115484,5.285402,5,16.909115,29.851523,139.172734,1,26.957753,2,87.459157,4.748736
29,27,35,23.649256,85.606857,5.606827,142.259347,pomegranate,19.355882,1,7.335984,11.848023,449.979204,1.472189,3,9.093416,37.757589,103.392777,2,14.270903,3,11.151889,3.450359
18,18,23,26.164537,77.513148,6.905807,95.632705,mango,25.082323,1,9.732628,6.278158,409.168727,5.873175,1,13.500986,78.637841,174.560085,2,36.91051,2,90.272442,2.009853
28,10,30,29.8690834,91.14723422,6.305740522,192.7678575,coconut,24.25224762503133,1,7.258072697703888,16.305813647135828,422.0706975655987,7.772412350121893,4,7.746319755008896,34.24390576794464,165.13135951267918,3,44.07953255829499,3,21.249620150241565,3.658733809109628
15,79,34,21.821203,53.634337,6.24525,84.697202,pigeonpeas,16.96858,1,11.566501,7.567006,380.88437,9.304731,5,13.625202,82.458363,93.088614,2,1.533759,2,33.058099,2.900917
28,36,35,32.826813,80.821076,6.386202,56.876608,mungbean,15.31606,1,7.238035,18.318148,423.064325,1.156338,3,7.703131,98.523249,71.411005,2,40.494929,3,31.672105,1.564401
91,41,50,25.701234,80.381725,6.056631,213.714622,jute,25.450166,3,8.067328,12.91489,389.748993,7.394031,1,15.122571,98.812673,61.608391,3,1.804617,2,38.560804,3.594603
19,46,72,16.457053,21.782702,6.627261,40.949434,chickpea,28.259219,2,8.468479,18.42263,418.525817,6.572032,4,11.451618,21.90531,134.575947,3,8.404929,2,13.243039,1.994377
11,51,16,27.218219,53.899309,6.321337,42.221866,mothbeans,17.509037,1,6.742228,13.543324,439.772639,6.533951,3,11.000488,32.477715,104.211261,2,4.673581,1,80.836468,1.500378
90,58,49,21.68841,82.922182,6.51672,187.256439,rice,29.789234,1,9.501256,9.85421,440.974817,9.856805,4,13.269803,26.275278,181.313152,3,24.985932,1,58.509505,1.845052
117,48,20,24.001836,89.648817,6.457638,88.784847,cotton,10.660524,2,11.120459,19.17728,404.301691,4.127012,4,5.32281,92.009966,63.107596,1,16.809194,2,74.457063,3.890083
25,39,32,33.60574,88.330179,6.742645,50.417743,mungbean,28.924928,1,11.65135,1.020513,385.961244,5.073957,6,12.012582,13.528436,165.00815,2,47.840436,2,11.173957,3.820484
86,10,13,22.76453,93.009811,3.792803,211.165,coffee,16.517484,1,9.422517,19.011886,384.632197,6.271726,6,15.2686,47.336166,90.917177,1,25.420939,2,86.357866,4.528876
26,30,24,25.101578,83.913873,6.911462,39.976499,mungbean,11.065199,2,9.655978,16.064944,429.904086,8.433025,1,9.649632,49.480198,54.822534,3,31.376757,2,58.702508,2.569613
57,19,60,29.320645,92.169841,7.464507,117.180824,papaya,20.711642,2,9.965151,5.265585,360.737616,8.923361,4,7.169299,88.787818,189.457032,3,16.391583,3,34.915077,4.238595
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon,22.643901148041618,1,9.612596751880464,6.388531666081776,361.7039794451841,4.977231571593711,5,8.895256210191278,91.20196030473168,160.55476192728185,2,41.12208769203116,2,90.9405498944429,1.0698493506472355
38,40,21,29.078111,60.895938,5.711909,63.693983,blackgram,15.643432,1,5.249983,12.672386,393.897159,6.580565,4,10.861378,29.831734,158.897778,3,41.868856,3,22.462849,1.28431
26,55,12,34.720552,80.674832,6.413499,44.883316,mungbean,18.37495,2,10.276932,16.96479,364.112926,4.667889,4,18.258575,2.801394,148.619771,2,4.877573,3,79.137067,2.937698
24,19,34,27.072257,90.40624,5.874012,163.804606,pomegranate,18.636791,3,11.697387,6.759855,352.78474,5.874468,5,14.613238,81.640619,93.331049,3,28.207395,2,83.605091,2.278308
